Date,IPO_Name,Profile,Issue_Size,QIB,HNI,RII,Total,Bid_Price,Listing_Open,Listing_Close,Listing_Gains,CMP,Current_Gains
10-09-15,Pennar Eng,/ipo/pennar-eng_PEB.html,156.19,0.0,0.04,0.11,0.07,178.0,177.95,157.5,-11.52,63.85,-64.13
09-09-15,Navkar Corp,/ipo/navkar-corp_NC09.html,600.0,6.47,0.9,1.62,2.85,155.0,152.0,166.4,7.35,40.6,-73.81
26-08-15,Power Mech,/ipo/power-mech_PMP.html,273.22,27.53,133.22,3.42,38.12,640.0,600.0,585.75,-8.48,960.0,50.0
11-08-15,Syngene Intl,/ipo/syngene-intl_SI62.html,550.0,51.47,90.24,4.78,32.05,250.0,295.0,155.2,-37.92,606.1,142.44
09-07-15,Manpasand Bever,/ipo/manpasand-bever_MB03.html,400.0,1.99,0.38,1.16,1.4,320.0,291.0,163.43,-48.93,6.14,-98.08
26-05-15,PNC Infratech,/ipo/pnc-infratech_PI29.html,488.0,4.51,0.65,0.28,1.56,378.0,381.0,72.04,-80.94,302.65,-19.93
14-05-15,UFO Moviez,/ipo/ufo-moviez_UMI03.html,600.0,4.49,1.17,1.02,2.04,625.0,600.0,598.8,-4.19,110.05,-82.39
06-05-15,MEP Infra,/ipo/mep-infra_MID.html,324.0,1.02,1.51,0.97,1.11,63.0,63.0,60.95,-3.25,21.9,-65.24
30-04-15,VRL Logistics,/ipo/vrl-logistics_VL08.html,473.88,58.22,250.86,7.92,74.26,205.0,288.0,293.3,43.07,455.9,122.39
09-04-15,Inox Wind,/ipo/inox-wind_IW.html,700.0,35.68,35.38,2.15,18.6,325.0,400.0,438.0,34.77,123.75,-61.92
06-04-15,Imagicaaworld,/ipo/imagicaaworld_AE16.html,467.0,1.17,0.49,1.37,1.11,180.0,167.95,191.25,6.25,11.5,-93.61
19-03-15,Ortel Comm,/ipo/ortel-comm_OC13.html,240.0,1.01,0.09,0.39,0.75,181.0,181.0,171.95,-5.0,1.26,-99.3
19-12-14,Monte Carlo,/ipo/monte-carlo_MC19.html,342.28,13.96,1.71,6.96,7.83,645.0,585.0,566.4,-12.19,603.5,-6.43
01-10-14,Shemaroo Ent,/ipo/shemaroo-ent_SE22.html,120.0,5.69,8.64,7.79,7.39,170.0,180.0,171.0,0.59,140.0,-17.65
23-09-14,Sharda Crop,/ipo/sharda-crop_SC47.html,352.0,32.06,251.35,5.85,59.97,156.0,254.1,231.45,48.37,327.6,110.0
12-09-14,Snowman Logist,/ipo/snowman-logist_SL16.html,197.4,16.98,221.79,41.26,59.75,47.0,75.0,78.75,67.55,40.8,-13.19
09-05-14,Wonderla,/ipo/wonderla_WH03.html,181.25,16.71,159.04,7.56,38.06,125.0,164.75,157.6,26.08,233.05,86.44
05-06-13,Just Dial,/ipo/just-dial_JD02.html,950.0,10.12,22.34,3.53,11.63,530.0,590.0,611.45,15.37,714.75,34.86
